Matchup,Time,Away SP,Home SP,Weather,Home Win%,Home Model ML,Away ML,Home ML,Pred Total,Pred Score,Mkt Total,Total Edge,Mkt Spread,Model Spread,ML Edge,Value,Confidence
Pittsburgh Pirates @ New York Mets,12:15 PM CHT,Paul Skenes (1.97),Freddy Peralta (2.70),63°F 14mph ↓in,45.6% / 54.4%,+119,-101,-118,7.7,5.0 - 2.8,7.0,+0.7,+1.5 / -1.5,Away +1.5 (-2.2),-6.3%,+4.2 (A),High
Chicago White Sox @ Milwaukee Brewers,1:10 PM CHT,Shane Smith (3.81),Jacob Misiorowski (4.36),38°F 18mph ↑out,60.1% / 39.9%,-150,+155,-185,9.5,4.1 - 5.4,8.0,+1.5,-1.5 / +1.5,Push zone (+1.2),-2.3%,+0.7 (A),High
Washington Nationals @ Chicago Cubs,1:20 PM CHT,Cade Cavalli (4.25),Matthew Boyd (3.21),43°F 16mph ↑out,67.0% / 33.0%,-203,+189,-225,8.4,3.7 - 4.7,8.0,+0.4,-1.5 / +1.5,Push zone (+1.0),+0.4%,-1.6 (A),Low
Minnesota Twins @ Baltimore Orioles,2:05 PM CHT,Joe Ryan (3.42),Trevor Rogers (1.81),78°F 12mph ↓in,54.9% / 45.1%,-121,+120,-140,8.7,4.6 - 4.1 ⚠️,8.0,+0.7,-1.5 / +1.5,Push zone (-0.5),-1.3%,-0.4 (A),Medium
Boston Red Sox @ Cincinnati Reds,3:10 PM CHT,Garrett Crochet (2.59),Andrew Abbott (2.87),80°F 17mph ↓in,47.7% / 52.3%,+109,-159,+135,7.8,4.2 - 3.7,8.0,-0.2,+1.5 / -1.5,Push zone (-0.5),+6.8%,+5.2 (H),High
Detroit Tigers @ San Diego Padres,3:10 PM CHT,Tarik Skubal (2.21),Nick Pivetta (2.87),74°F 8mph ↑out,47.9% / 52.1%,+108,-130,+112,7.5,4.2 - 3.2,7.0,+0.5,+1.5 / -1.5,Push zone (-1.0),+2.5%,+0.8 (H),Low
Los Angeles Angels @ Houston Astros,3:10 PM CHT,José Soriano (4.26),Hunter Brown (2.43),80°F 12mph ↓in,67.0% / 33.1%,-202,+153,-182,8.4,2.8 - 5.6,8.0,+0.4,-1.5 / +1.5,Home -1.5 (+2.8),+4.9%,+2.4 (H),Medium
Texas Rangers @ Philadelphia Phillies,3:15 PM CHT,Nathan Eovaldi (1.73),Cristopher Sánchez (2.50),73°F 15mph ↓in,56.5% / 43.5%,-130,+134,-155,7.9,3.6 - 4.3,8.0,-0.1,-1.5 / +1.5,Push zone (+0.7),-2.2%,+0.7 (A),Low
Tampa Bay Rays @ St. Louis Cardinals,3:15 PM CHT,Drew Rasmussen (2.76),Matthew Liberatore (4.21),88°F 11mph ↓in,55.5% / 44.5%,-124,-125,+106,9.1,4.4 - 4.8,7.5,+1.6,+1.5 / -1.5,Push zone (+0.4),+8.8%,+6.9 (H),High
Arizona Diamondbacks @ Los Angeles Dodgers,7:30 PM CHT,Zac Gallen (4.83),Yoshinobu Yamamoto (2.49),77°F 10mph ↓in,59.4% / 40.6%,-146,+210,-250,8.0,3.7 - 4.3,9.0,-1.0,-1.5 / +1.5,Push zone (+0.6),-9.5%,+8.3 (A),High
Cleveland Guardians @ Seattle Mariners,9:10 PM CHT,Tanner Bibee (4.24),Logan Gilbert (3.44),49°F 5mph ↓in,56.0% / 44.0%,-127,+158,-183,7.2,3.2 - 4.0,6.5,+0.7,-1.5 / +1.5,Push zone (+0.8),-6.5%,+5.2 (A),High
